"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","11/08/2010","23:18:48","","java.lang.NullPointerException"
"ERROR","web-0","11/13/2010","07:48:40","","if statement must end with a [)]"
"ERROR","web-0","11/13/2010","07:49:50","","key [DEPTID] doesn't exist in struct (keys:)"
"ERROR","web-0","11/13/2010","07:49:51","","key [DEPTID] doesn't exist in struct (keys:)"
"ERROR","web-0","11/13/2010","07:56:37","","key [DEPARTMENTOBJ] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","11/13/2010","07:56:42","","Page /install/setup.cfm [/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/install/setup.cfm] not found"
"ERROR","web-0","11/13/2010","07:57:08","","key [DEPTID] doesn't exist in struct (keys:rebuild)"
"ERROR","web-0","11/13/2010","08:00:06","","The parameter deptname to function setDeptname is required but was not passed in."
"ERROR","web-0","11/13/2010","08:00:47","","key [DEPTID] doesn't exist in struct (keys:rebuild)"
"ERROR","web-0","11/13/2010","08:03:16","","key [DEPTID] doesn't exist in struct (keys:rebuild)"
"ERROR","web-0","11/13/2010","08:03:41","","variable [MANAGERS] doesn't exist"
"ERROR","web-0","11/13/2010","08:04:46","","the function listAll has a invalid return value , can't cast Object type [Array] to a value of type [public[]]"
"ERROR","web-0","11/13/2010","08:04:58","","variable [MANAGERS] doesn't exist"
"ERROR","web-0","11/13/2010","08:07:51","","key [DEPTID] doesn't exist in argument scope"
"ERROR","web-0","11/13/2010","08:08:43","","key [DEPTID] doesn't exist in argument scope"
"ERROR","web-0","11/13/2010","08:09:16","","key [DEPTID] doesn't exist in argument scope"
"ERROR","web-0","11/13/2010","08:09:36","","variable [DEPARTMENT] doesn't exist"
"ERROR","web-0","11/13/2010","08:10:02","","variable [DEPARTMENT] doesn't exist"
"ERROR","web-0","11/13/2010","08:10:35","","variable [DEPARTMENT] doesn't exist"
"ERROR","web-0","11/13/2010","08:11:36","","the function delete has a invalid return value , can't cast Object type [Boolean] to a value of type [void]"
"ERROR","web-0","11/13/2010","08:12:06","","invalid call of the function delete (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/services/department.cfc), first Argument (DEPTID) is of invalid type, can't cast String [12] to a value of type [int]"
"ERROR","web-0","11/13/2010","08:12:20","","invalid call of the function delete (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/services/department.cfc), first Argument (DEPTID) is of invalid type, can't cast String [12] to a value of type [int]"
"ERROR","web-0","11/13/2010","10:55:04","","component [model.manager] has no  function with name [SETDEPTNAME]"
"ERROR","web-0","11/13/2010","10:59:25","","component [manager] has no  function with name [GETDEPTNAME]"
"ERROR","web-0","11/13/2010","10:59:51","","component [manager] has no  function with name [GETDEPTNAME]"
"ERROR","web-0","11/13/2010","17:06:39","","invalid call of the function delete (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/services/department.cfc), first Argument (DEPTID) is of invalid type, can't cast String [Andy Jarrett] to a value of type [numeric]"
"ERROR","web-0","11/13/2010","17:06:51","","invalid call of the function delete (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/services/department.cfc), first Argument (DEPTID) is of invalid type, can't cast String [Andy Jarrett] to a value of type [numeric]"
"ERROR","web-0","11/13/2010","17:11:09","","key [DEPT] doesn't exist in struct (keys:deptid)"
"ERROR","web-0","11/13/2010","17:11:18","","key [DEPT] doesn't exist in struct (keys:deptid)"
"ERROR","web-0","11/13/2010","17:23:01","","the function read has a invalid return value , can't cast Object type [Component model.department] to a value of type [void]"
"ERROR","web-0","11/13/2010","17:23:24","","component [department] has no  function with name [GETMANAGERS]"
"ERROR","web-0","11/13/2010","17:23:37","","component [department] has no  function with name [GETMANAGER]"
"ERROR","web-0","11/13/2010","17:24:42","","missing id property for entity [department]"
"ERROR","web-0","11/13/2010","17:24:45","","missing id property for entity [department]"
"ERROR","web-0","11/13/2010","17:24:52","","Attribute ""lazy"" with value ""true"" must have a value from the list ""false proxy no-proxy ""."
"ERROR","web-0","11/13/2010","17:25:13","","variable [D] doesn't exist"
"ERROR","web-0","11/13/2010","17:25:35","","variable [D] doesn't exist"
"ERROR","web-0","11/13/2010","17:25:43","","the function read has a invalid return value , can't cast Object type [Component model.department] to a value of type [void]"
"ERROR","web-0","11/13/2010","17:32:48","","the function read has a invalid return value , can't cast Object type [Component model.department] to a value of type [void]"
"ERROR","web-0","11/13/2010","17:33:10","","variable [MANAGERS] doesn't exist"
"ERROR","web-0","11/13/2010","17:34:28","","Repeated column in mapping for entity: department column: deptid (should be mapped with insert=""false"" update=""false"")"
"ERROR","web-0","11/13/2010","17:34:51","","variable [D] doesn't exist"
"ERROR","web-0","11/13/2010","17:35:06","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:37:27","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:39:15","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:39:19","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:40:33","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:40:54","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:41:05","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:41:31","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:42:10","","Can't cast Null value to value of type [Component]; value is null"
"ERROR","web-0","11/13/2010","17:47:01","","variable [NULL] doesn't exist"
"ERROR","web-0","11/13/2010","17:47:10","","invalid call of the function setManager (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/model/department.cfc), first Argument (manager) is of invalid type, can't cast Object type [Component model.manager] to a value of type [array]"
"ERROR","web-0","11/13/2010","17:48:04","","invalid call of the function setManager (/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/model/department.cfc), first Argument (manager) is of invalid type, can't cast Object type [Component model.manager] to a value of type [array]"
"ERROR","web-0","11/13/2010","17:50:08","","variable [D] doesn't exist"
"ERROR","web-0","11/13/2010","18:05:12","","key [MANANGEROBJ] doesn't exist in struct (keys:DEPARTMENTOBJ,MANAGEROBJ,applicationname)"
"ERROR","web-0","11/13/2010","18:05:17","","key [MANANGEROBJ] doesn't exist in struct (keys:DEPARTMENTOBJ,MANAGEROBJ,applicationname)"
"ERROR","web-0","11/13/2010","18:05:41","","key [DEPTID] doesn't exist in struct (keys:)"
"ERROR","web-0","11/13/2010","18:06:07","","variable [D] doesn't exist"
"ERROR","web-0","11/13/2010","18:07:56","","Attribute ""lazy"" with value ""true"" must have a value from the list ""false proxy no-proxy ""."
"ERROR","web-0","11/13/2010","18:09:21","","invalid value [proxy] for attribute [lazy] of property [deptartment] of Component [manager], valid values are [true,false,extra]"
"ERROR","web-0","11/13/2010","18:09:28","","Attribute ""lazy"" with value ""extra"" must have a value from the list ""false proxy no-proxy ""."
"ERROR","web-0","11/13/2010","18:09:34","","Repeated column in mapping for entity: manager column: deptid (should be mapped with insert=""false"" update=""false"")"
"ERROR","web-0","11/13/2010","18:09:45","","variable [D] doesn't exist"
